english,manual_igbo,nllb_igbo,bleu_score,meteor_score,chrf_score,rouge1_score,rouge2_score,rougeL_score,exact_match
This option is perfect for keeping steak moist and scrumptious.,Mghọrọ nke a kacha mma íjí mee ka íbé anụ dee èdè ma dịkwa ezigbo ụtọ.,Nke a bụ nhọrọ zuru okè iji mee ka steak dị mmiri ma dị ụtọ.,0.03288164697569687,0.0,0.21600677118946057,0.5882352941176471,0.18750000000000003,0.47058823529411764,0
This is the best option if youre short on time.,Nke a bụ mghọrọ kachasị mma ma ọbụrụ na ọtụtụ ógè adịghị.,Nke a bụ nhọrọ kasị mma ma ọ bụrụ na i nwere obere oge.,0.09303723531853667,0.0,0.4520802821003202,0.5806451612903225,0.4137931034482759,0.5806451612903225,0
This wipes away bacteria and sugars that can cause cavities.,Nke a na-ewepụ nje bakterịa na shuuga ndị na-akpata újí ézé.,Nke a na-ehichapụ nje bacteria na shuga ndị pụrụ ịkpata oghere.,0.05012578715739066,0.0,0.4321676088210101,0.4444444444444445,0.16,0.4444444444444445,0
Brush your teeth twice a day and floss every day.,Saa ézé gị ugboro abụọ kwa Ụbọchị ma jiri eriri wepụ ihe fanyere n'etiti ezé ụbọchị niile.,"Na-akwọcha ezé gị ugboro abụọ n'ụbọchị, na-ejikwa eriri akwara eme ihe kwa ụbọchị.",0.06986724470434774,0.0,0.35654710750237467,0.6153846153846154,0.27027027027027023,0.46153846153846156,0
Most of the violence occurred in Khyber Pakhtunkhwa and Balochistan.,Ụfọdụ mmesi iké mere na Khyber Pakhtunkhwa na Balochistan.,Ihe ka ọtụtụ n'ime ime ihe ike ahụ mere na Khyber Pakhtunkhwa na Balochistan.,0.3498761149110956,0.0,0.7410224953877194,0.4615384615384615,0.4166666666666667,0.4615384615384615,0
Carbon dioxide in the blood is expelled through the lungs.,A na-achụpụ carbon dioxide dị n'ọbara site n'akpa ume.,A na-achụpụ carbon dioxide dị n'ọbara site n'akpa ume.,1.0,0.0,1.0,1.0,1.0,1.0,1
A deposit scheme ensured they were not otherwise thrown away.,Atụmatụ ntinye ego mere Ka aghara itufusi ha.,Usoro nkwụnye ego na-eme ka a ghara ịtụfu ha n'ụzọ ọzọ.,0.018850319022747353,0.0,0.30372340407428006,0.25,0.0,0.25,0
In 1799 Augustine Thwaites founded Thwaites Soda Water in Dublin.,"N'afọ 1799, Augustine Thwaites bidoro Thwaites Soda Water na Dublin.",Na 1799 Augustine Thwaites tọrọ ntọala Thwaites Soda Water na Dublin.,0.40352786374639904,0.0,0.7113953151627334,0.6666666666666667,0.5454545454545454,0.6666666666666667,0
This money could have helped more people receive medical care.,Ego a gaara enyere ọtụtụ mmadụ aka inweta nlekọta n'ụlọ ọgwụ.,Ego a gaara enyere ndị ọzọ aka inweta nlekọta ahụ ike.,0.33932513407933634,0.0,0.5652643910753609,0.6153846153846153,0.4999999999999999,0.6153846153846153,0
Ask your childs dentist to apply dental sealants when appropriate.,Gwa dọkịta ezé nwa gị ka o tee ihe òtite mkpuchi nke ezé mgbe ekwesịrị.,Gwa dọkịta ezé nke nwa gị ka o jiri ihe ndị na-egbochi ezé mee ihe mgbe o kwesịrị ekwesị.,0.20522120509305022,0.0,0.5331064181343556,0.7317073170731708,0.358974358974359,0.6341463414634146,0
This matter is currently being handled by Zone 2 Command.,Okwu a ka Zone 2 Command na-edozi ugbu a.,"N'oge a, ndị na-achị mpaghara 2 na-edozi okwu a.",0.03155984539112946,0.0,0.30456223373639013,0.5454545454545454,0.19999999999999998,0.45454545454545453,0
They went and reported the incident at the police station.,Ha gara kọọrọ ihe merenụ n'ụlọ ọrụ ndị uweojii.,Ha gara kọọrọ ndị uwe ojii ihe merenụ.,0.13784336590962212,0.0,0.6291703548524755,0.7000000000000001,0.5555555555555556,0.6,0
I could personally contribute such an amount to the ministry.,Mụ onwe m nwere ike ịtụ ụdị ego ahụ nye ndị Ministrị.,Enwere m ike inye onyinye dị otú ahụ n'ozi ahụ.,0.02274122123480211,0.0,0.22470820362167931,0.34782608695652173,0.0,0.34782608695652173,0
Further updates will be provided as more information becomes available.,"Ihe malite ọzọ, a ga-eme ka unu mara ozugbo ozi ya dị.",A ga-enye ndị ọzọ mmelite dị ka ozi ndị ọzọ na-adị.,0.0204689180374571,0.0,0.2221576411350148,0.46153846153846156,0.08333333333333333,0.3076923076923077,0
Odusola said Governor Aiyedatiwa must not introduce such a law.,Odusola kwuru na onye ọchịchị bụ Gọvanọ Aiyedatiwa ekwesighi ime ụdị iwu ahụ.,Odusola kwuru na gọvanọ Aiyedatiwa ekwesịghị iwebata iwu dị otú ahụ.,0.09250205543221647,0.0,0.5492658637717299,0.6428571428571429,0.30769230769230765,0.5714285714285715,0
This development came amid a broader crackdown on police misconduct.,Ihe a malitere mgbe agbakwụsịga ike megide àgwà ọjọọ ndị uweojii.,Ọganihu a bịara n'etiti mmegide ka ukwuu megide omume ọjọọ nke ndị uwe ojii.,0.020200106912694155,0.0,0.35010250024498335,0.27586206896551724,0.0,0.27586206896551724,0
I was scared and thought he might be a thief.,"Ụjọ bịara m, echeere m na o nwere ike ịbụ onye ohi.","Ụjọ tụrụ m, echekwara m na o nwere ike ịbụ onye ohi.",0.6484115071397645,0.0,0.7035010553470022,0.7692307692307693,0.5833333333333334,0.7692307692307693,0
The same thing with my parents and the other siblings.,Ótù ihe a meere nne na nna m nakwa ụmụ nne m ndị ọzọ.,Otú ahụ ka ọ dịkwa papa m na mama m na ụmụnne m ndị nwoke na ndị nwaanyị ndị ọzọ.,0.030452555559828284,0.0,0.44123860865389614,0.4,0.24242424242424246,0.4,0
The incident has reportedly caused the victim significant emotional distress.,A kọrọ na ihe merenụ nyèrè onye ometụtara nsogbu obì mgbawa.,A kọrọ na ihe a merenụ akpatarala onye ahụ nsogbu n'obi nke ukwuu.,0.2224246939793677,0.0,0.4032915547278511,0.5517241379310344,0.29629629629629634,0.5517241379310344,0
She was the second to the last of six children.,Ọ bụrụ nwa ikpeazụ nke abụọ n'ime ụmụ isii.,Ọ bụ nwa nke abụọ n'ime ụmụ isii.,0.4962644776757998,0.0,0.6279246656090117,0.888888888888889,0.6250000000000001,0.888888888888889,0
We have arrested the culprits that kidnapped and killed him.,Anyị ejidele ndị tụụrụ ya ma gbuo ya.,Anyị ejidewo ndị omekome ahụ jidere ya ma gbuo ya.,0.2907153684841096,0.0,0.5681373266511975,0.631578947368421,0.35294117647058826,0.631578947368421,0
